record_id,gem_category,ministry,state,estimated_value_lakh,num_bidders,bid_cv_pct,min_bid_time_gap_minutes,min_company_age_months,avg_company_age_months,num_shell_companies,has_shared_director,winning_bid_pct_of_estimate,deadline_days,is_split_tender,spec_bias_score,gem_verified_bidders,is_fraud,fraud_type,data_source
GEM-CAL-00016,IT Services,Ministry of Health & Family Welfare,Uttar Pradesh,50.86,7,10.25,8590.6,31,32,0,0,93.09,62,0,10.15,7,0,none,GEM_CALIBRATED_2024
GEM-CAL-00017,Civil/Construction,Ministry of Defence,Others,1230.98,3,13.98,2.8,29,43,0,0,93.17,57,0,21.3,2,1,timing,GEM_CALIBRATED_2024
GEM-CAL-00018,Furniture,Ministry of Defence,Bihar,8.54,1,24.61,6225.1,38,68,0,0,96.11,19,0,4.36,1,0,none,GEM_CALIBRATED_2024
GEM-CAL-00019,Product/Stationery,Ministry of Defence,Rajasthan,1.5,7,13.42,9306.3,61,65,0,0,95.06,89,0,4.73,7,0,none,GEM_CALIBRATED_2024
GEM-CAL-00020,Printing Services,Ministry of Agriculture,Uttar Pradesh,2.41,4,17.23,27576.7,14,18,0,0,91.91,60,0,9.66,4,0,none,GEM_CALIBRATED_2024
GEM-CAL-00021,Medical Equipment,Ministry of Agriculture,Uttar Pradesh,376.5,1,21.39,35953.5,107,112,0,0,89.9,41,0,15.43,1,0,none,GEM_CALIBRATED_2024
GEM-CAL-00022,Product/Stationery,Ministry of Health & Family Welfare,Others,3.75,9,11.93,2342.4,52,79,0,0,86.07,71,0,3.82,9,0,none,GEM_CALIBRATED_2024
GEM-CAL-00023,Security Services,Ministry of Power,West Bengal,7.96,4,12.84,4595.7,116,135,0,0,93.02,40,0,19.6,4,0,none,GEM_CALIBRATED_2024
GEM-CAL-00024,Electrical Equipment,Ministry of Road Transport & Highways,Tamil Nadu,122.16,6,7.4,25686.8,51,71,0,0,92.82,37,0,10.99,6,0,none,GEM_CALIBRATED_2024
GEM-CAL-00025,IT Hardware,Ministry of Education,Others,53.61,4,22.94,40138.2,94,127,0,0,87.94,32,0,8.45,4,0,none,GEM_CALIBRATED_2024
GEM-CAL-00026,IT Hardware,Ministry of Education,Others,180.8,5,15.63,19507.8,52,52,0,0,82.94,38,0,1.04,5,0,none,GEM_CALIBRATED_2024
GEM-CAL-00027,Printing Services,Ministry of Finance,Rajasthan,4.26,6,9.02,20638.3,27,50,0,0,85.96,52,0,22.49,6,0,none,GEM_CALIBRATED_2024
GEM-CAL-00028,Printing Services,Ministry of Electronics & IT,Maharashtra,3.44,4,13.87,19773.0,61,70,0,0,95.31,80,0,11.49,4,0,none,GEM_CALIBRATED_2024
GEM-CAL-00029,Printing Services,Ministry of Health & Family Welfare,Others,3.5,9,20.13,23820.6,101,129,0,0,96.53,16,0,14.93,9,0,none,GEM_CALIBRATED_2024
GEM-CAL-00030,Printing Services,Ministry of Education,Rajasthan,5.63,8,7.1,29631.3,100,119,0,0,94.71,72,0,22.96,8,0,none,GEM_CALIBRATED_2024
GEM-CAL-00031,Security Services,Ministry of Defence,Bihar,13.12,4,18.4,23529.5,72,88,0,0,93.78,66,0,5.01,4,0,none,GEM_CALIBRATED_2024
GEM-CAL-00032,IT Services,Ministry of Health & Family Welfare,Uttar Pradesh,68.4,5,11.95,16863.4,78,80,0,0,96.02,80,0,14.97,5,0,none,GEM_CALIBRATED_2024
GEM-CAL-00033,IT Hardware,Ministry of Electronics & IT,Bihar,87.0,4,21.4,11137.8,100,131,0,0,86.61,46,0,0.68,4,0,none,GEM_CALIBRATED_2024
GEM-CAL-00034,Medical Equipment,Ministry of Agriculture,Bihar,1031.41,4,22.13,1033.5,48,50,0,0,94.49,48,0,7.91,4,0,none,GEM_CALIBRATED_2024
GEM-CAL-00035,Security Services,Ministry of Education,Rajasthan,79.09,4,23.31,22065.7,15,46,0,0,88.57,62,0,21.08,4,0,none,GEM_CALIBRATED_2024
GEM-CAL-00036,Printing Services,Ministry of Finance,Bihar,4.19,8,18.69,39777.4,83,89,0,0,91.07,53,0,0.49,8,0,none,GEM_CALIBRATED_2024
GEM-CAL-00037,IT Hardware,Ministry of Electronics & IT,West Bengal,58.67,2,11.41,926.2,41,53,0,0,94.18,31,0,69.11,1,1,spec_bias,GEM_CALIBRATED_2024
GEM-CAL-00038,Printing Services,Ministry of Railways,Delhi,3.27,4,1.62,88.8,41,68,0,1,96.5,70,0,23.22,3,1,bid_rigging,GEM_CALIBRATED_2024
GEM-CAL-00039,IT Hardware,Ministry of Defence,Tamil Nadu,29.24,7,24.99,11356.5,115,118,0,0,93.04,62,0,16.75,7,0,none,GEM_CALIBRATED_2024
GEM-CAL-00040,IT Hardware,Ministry of Road Transport & Highways,Uttar Pradesh,71.87,5,13.54,33456.7,15,30,0,0,83.76,8,0,21.28,5,0,none,GEM_CALIBRATED_2024
GEM-CAL-00041,IT Services,Ministry of Housing & Urban Affairs,Bihar,31.14,3,17.31,26828.9,84,108,0,0,90.49,44,0,0.85,3,0,none,GEM_CALIBRATED_2024
GEM-CAL-00042,Civil/Construction,Ministry of Defence,Maharashtra,2284.15,5,12.96,5111.2,68,77,0,0,90.34,80,0,0.43,5,0,none,GEM_CALIBRATED_2024
GEM-CAL-00043,IT Hardware,Ministry of Electronics & IT,Karnataka,76.8,6,1.01,107.9,32,68,0,0,95.63,60,0,16.26,5,1,bid_rigging,GEM_CALIBRATED_2024
GEM-CAL-00044,Medical Equipment,Ministry of Defence,Madhya Pradesh,177.18,4,12.86,36.2,1,26,1,1,93.57,52,0,17.29,3,1,shell_company,GEM_CALIBRATED_2024
GEM-CAL-00045,Furniture,Ministry of Road Transport & Highways,Rajasthan,9.32,2,18.21,3364.0,86,102,0,0,87.5,61,0,11.35,2,0,none,GEM_CALIBRATED_2024
GEM-CAL-00046,Printing Services,Ministry of Housing & Urban Affairs,Uttar Pradesh,3.84,6,23.26,8883.3,53,63,0,0,88.1,11,0,19.37,6,0,none,GEM_CALIBRATED_2024
GEM-CAL-00047,Printing Services,Ministry of Road Transport & Highways,Gujarat,7.05,6,7.51,20896.1,99,111,0,0,90.91,56,0,9.75,6,0,none,GEM_CALIBRATED_2024
GEM-CAL-00048,Medical Equipment,Ministry of Railways,Uttar Pradesh,150.02,4,11.44,886.5,110,120,0,0,97.85,48,0,23.6,3,1,front_running,GEM_CALIBRATED_2024
GEM-CAL-00049,Civil/Construction,Ministry of Defence,Uttar Pradesh,275.9,8,9.35,2.6,60,60,0,0,91.19,73,0,23.12,7,1,timing,GEM_CALIBRATED_2024
GEM-CAL-00050,Product/Stationery,Ministry of Health & Family Welfare,Tamil Nadu,1.45,10,17.92,4129.7,51,53,0,0,87.25,46,0,23.65,10,0,none,GEM_CALIBRATED_2024
GEM-CAL-00051,Printing Services,Ministry of Education,Delhi,7.27,8,10.93,1379.3,14,38,0,0,87.81,67,0,6.44,8,0,none,GEM_CALIBRATED_2024
GEM-CAL-00052,Medical Equipment,Ministry of Health & Family Welfare,Delhi,186.82,1,11.65,953.5,117,139,0,0,87.52,77,0,24.37,1,0,none,GEM_CALIBRATED_2024
GEM-CAL-00053,Civil/Construction,Ministry of Housing & Urban Affairs,Tamil Nadu,427.11,4,20.35,11689.0,22,23,0,0,90.83,58,0,12.77,4,0,none,GEM_CALIBRATED_2024
GEM-CAL-00054,Product/Stationery,Ministry of Education,Maharashtra,2.26,2,8.3,1989.4,63,67,0,0,90.01,41,1,22.64,1,1,split,GEM_CALIBRATED_2024
GEM-CAL-00055,Product/Stationery,Ministry of Defence,Madhya Pradesh,7.38,8,14.75,27663.8,51,54,0,0,86.59,11,0,23.71,8,0,none,GEM_CALIBRATED_2024
GEM-CAL-00056,Medical Equipment,Ministry of Road Transport & Highways,Bihar,87.06,6,13.98,68.7,57,82,0,0,98.43,20,0,7.15,5,1,front_running,GEM_CALIBRATED_2024
GEM-CAL-00057,Product/Stationery,Ministry of Defence,Maharashtra,1.95,7,7.36,23115.6,88,93,0,0,91.92,19,0,16.32,7,0,none,GEM_CALIBRATED_2024
GEM-CAL-00058,Product/Stationery,Ministry of Road Transport & Highways,Maharashtra,5.96,7,15.28,35392.4,35,63,0,0,87.19,25,0,9.02,7,0,none,GEM_CALIBRATED_2024
GEM-CAL-00059,Printing Services,Ministry of Health & Family Welfare,Tamil Nadu,6.59,6,10.69,10710.4,73,86,0,0,82.05,73,0,19.86,6,0,none,GEM_CALIBRATED_2024
GEM-CAL-00060,IT Services,Ministry of Defence,Bihar,57.59,4,2.56,100.8,14,42,0,1,96.29,12,0,5.56,3,1,bid_rigging,GEM_CALIBRATED_2024
GEM-CAL-00061,Security Services,Ministry of Agriculture,Gujarat,49.32,5,22.59,3374.5,75,88,0,0,88.69,56,0,8.3,5,0,none,GEM_CALIBRATED_2024
GEM-CAL-00062,Printing Services,Ministry of Electronics & IT,Madhya Pradesh,4.55,5,24.63,12636.5,16,21,0,0,88.68,65,0,10.82,5,0,none,GEM_CALIBRATED_2024
GEM-CAL-00063,Product/Stationery,Ministry of Road Transport & Highways,Maharashtra,1.29,9,5.48,4729.1,12,31,0,0,85.36,67,0,6.87,9,0,none,GEM_CALIBRATED_2024
GEM-CAL-00064,IT Hardware,Ministry of Defence,Uttar Pradesh,49.67,1,7.21,2148.6,32,39,0,0,95.2,86,0,88.3,0,1,spec_bias,GEM_CALIBRATED_2024
GEM-CAL-00065,Electrical Equipment,Ministry of Housing & Urban Affairs,Uttar Pradesh,114.38,8,15.45,1136.4,15,16,0,0,96.49,80,0,13.43,8,0,none,GEM_CALIBRATED_2024
GEM-CAL-00066,Product/Stationery,Ministry of Electronics & IT,Gujarat,8.14,8,20.31,16690.3,115,124,0,0,92.54,73,0,10.09,8,0,none,GEM_CALIBRATED_2024
GEM-CAL-00067,Electrical Equipment,Ministry of Railways,Karnataka,59.66,6,8.44,5293.8,40,61,0,0,88.69,32,0,3.26,6,0,none,GEM_CALIBRATED_2024
GEM-CAL-00068,Product/Stationery,Ministry of Road Transport & Highways,Karnataka,1.22,6,18.01,36065.5,67,83,0,0,95.27,17,0,9.82,6,0,none,GEM_CALIBRATED_2024
GEM-CAL-00069,IT Hardware,Ministry of Defence,Uttar Pradesh,95.01,4,12.34,594.8,2,28,1,0,93.91,14,0,24.8,3,1,shell_company,GEM_CALIBRATED_2024
GEM-CAL-00070,Security Services,Ministry of Health & Family Welfare,Uttar Pradesh,11.58,4,16.15,20201.5,67,73,0,0,96.3,7,0,3.49,4,0,none,GEM_CALIBRATED_2024
GEM-CAL-00071,Furniture,Ministry of Finance,Maharashtra,16.69,1,8.82,25723.5,84,91,0,0,96.08,45,0,17.12,1,0,none,GEM_CALIBRATED_2024
GEM-CAL-00072,IT Hardware,Ministry of Power,Maharashtra,34.73,4,16.79,1271.2,30,58,0,0,97.88,82,0,14.88,3,1,front_running,GEM_CALIBRATED_2024
GEM-CAL-00073,Product/Stationery,Ministry of Finance,Delhi,3.8,9,18.54,28148.8,107,125,0,0,89.94,11,0,0.89,9,0,none,GEM_CALIBRATED_2024
GEM-CAL-00074,Product/Stationery,Ministry of Health & Family Welfare,Madhya Pradesh,1.54,7,22.09,11821.4,80,106,0,0,95.03,88,0,10.52,7,0,none,GEM_CALIBRATED_2024
GEM-CAL-00075,Product/Stationery,Ministry of Defence,Gujarat,1.52,6,17.7,28309.8,96,121,0,0,93.1,26,0,9.69,6,0,none,GEM_CALIBRATED_2024
GEM-CAL-00076,IT Hardware,Ministry of Railways,Rajasthan,22.11,3,15.05,13280.8,41,46,0,0,85.31,50,0,20.32,3,0,none,GEM_CALIBRATED_2024
GEM-CAL-00077,Product/Stationery,Ministry of Defence,Rajasthan,1.23,5,7.92,31968.2,23,33,0,0,88.08,82,0,5.97,5,0,none,GEM_CALIBRATED_2024
GEM-CAL-00078,Printing Services,Ministry of Power,Delhi,5.78,7,16.53,40677.3,44,80,0,0,88.46,58,0,2.72,7,0,none,GEM_CALIBRATED_2024
GEM-CAL-00079,Furniture,Ministry of Housing & Urban Affairs,Maharashtra,10.86,7,12.08,17819.2,52,59,0,0,91.06,9,0,12.99,7,0,none,GEM_CALIBRATED_2024
GEM-CAL-00080,Civil/Construction,Ministry of Defence,Delhi,3848.0,6,13.13,34772.0,48,59,0,0,95.18,60,0,24.5,6,0,none,GEM_CALIBRATED_2024
GEM-CAL-00081,Product/Stationery,Ministry of Electronics & IT,Maharashtra,0.54,5,10.7,24447.6,39,39,0,0,82.97,37,0,20.75,5,0,none,GEM_CALIBRATED_2024
GEM-CAL-00082,Laboratory Equipment,Ministry of Health & Family Welfare,West Bengal,172.52,5,19.89,40346.7,63,77,0,0,94.28,86,0,2.06,5,0,none,GEM_CALIBRATED_2024
GEM-CAL-00083,Printing Services,Ministry of Health & Family Welfare,Tamil Nadu,3.69,5,17.89,4931.5,77,78,0,0,96.0,37,0,12.55,5,0,none,GEM_CALIBRATED_2024
GEM-CAL-00084,Product/Stationery,Ministry of Railways,Delhi,3.04,8,11.27,30812.0,74,75,0,0,89.89,17,0,19.18,8,0,none,GEM_CALIBRATED_2024
GEM-CAL-00085,Product/Stationery,Ministry of Power,West Bengal,2.62,9,16.18,23230.6,28,36,0,0,89.05,74,0,16.76,9,0,none,GEM_CALIBRATED_2024
GEM-CAL-00086,Furniture,Ministry of Education,Uttar Pradesh,8.49,2,16.56,39280.7,112,132,0,0,89.36,41,0,19.49,2,0,none,GEM_CALIBRATED_2024
GEM-CAL-00087,Printing Services,Ministry of Road Transport & Highways,Gujarat,3.87,3,5.13,472.4,3,37,1,1,93.99,61,0,20.65,2,1,shell_company,GEM_CALIBRATED_2024
GEM-CAL-00088,Electrical Equipment,Ministry of Health & Family Welfare,Madhya Pradesh,59.22,8,6.71,39550.5,51,80,0,0,93.98,29,0,9.78,8,0,none,GEM_CALIBRATED_2024
GEM-CAL-00089,Electrical Equipment,Ministry of Electronics & IT,Gujarat,53.13,8,16.48,40301.0,75,101,0,0,89.08,23,0,24.03,8,0,none,GEM_CALIBRATED_2024
GEM-CAL-00090,IT Services,Ministry of Electronics & IT,Gujarat,743.64,2,16.25,42103.8,105,113,0,0,83.09,50,0,10.68,2,0,none,GEM_CALIBRATED_2024
GEM-CAL-00091,Civil/Construction,Ministry of Housing & Urban Affairs,Others,621.04,6,15.44,33948.4,33,44,0,0,85.47,19,0,17.33,6,0,none,GEM_CALIBRATED_2024
GEM-CAL-00092,Medical Equipment,Ministry of Education,Uttar Pradesh,56.6,3,15.44,1401.3,86,88,0,0,98.76,46,0,4.38,2,1,front_running,GEM_CALIBRATED_2024
GEM-CAL-00093,Product/Stationery,Ministry of Defence,Maharashtra,2.91,7,18.14,16660.8,66,79,0,0,85.74,12,0,7.66,7,0,none,GEM_CALIBRATED_2024
GEM-CAL-00094,Civil/Construction,Ministry of Road Transport & Highways,Others,1794.91,8,7.74,2.1,21,48,0,0,90.72,69,0,22.42,7,1,timing,GEM_CALIBRATED_2024
GEM-CAL-00095,Medical Equipment,Ministry of Housing & Urban Affairs,Others,25.36,4,0.32,109.1,45,56,0,0,95.98,67,0,5.67,3,1,bid_rigging,GEM_CALIBRATED_2024
GEM-CAL-00096,Product/Stationery,Ministry of Defence,Tamil Nadu,2.28,6,12.12,25217.7,110,136,0,0,96.66,66,0,22.21,6,0,none,GEM_CALIBRATED_2024
GEM-CAL-00097,IT Hardware,Ministry of Road Transport & Highways,Uttar Pradesh,7.88,5,10.02,828.9,67,96,0,0,98.4,88,0,20.59,4,1,front_running,GEM_CALIBRATED_2024
GEM-CAL-00098,Product/Stationery,Ministry of Defence,Uttar Pradesh,2.17,11,22.65,11516.1,43,62,0,0,95.45,66,0,9.19,11,0,none,GEM_CALIBRATED_2024
GEM-CAL-00099,Security Services,Ministry of Defence,Bihar,60.18,7,15.29,27038.9,68,86,0,0,83.92,45,0,11.58,7,0,none,GEM_CALIBRATED_2024
GEM-CAL-00100,Furniture,Ministry of Power,Others,12.91,7,6.0,7713.0,76,84,0,0,82.01,29,0,22.42,7,0,none,GEM_CALIBRATED_2024
GEM-CAL-00101,IT Hardware,Ministry of Education,Delhi,41.99,6,21.05,6361.4,115,117,0,0,87.34,56,0,0.92,6,0,none,GEM_CALIBRATED_2024
GEM-CAL-00102,IT Services,Ministry of Defence,Karnataka,455.11,3,24.08,8702.4,109,143,0,0,89.99,60,0,21.14,3,0,none,GEM_CALIBRATED_2024
GEM-CAL-00103,Printing Services,Ministry of Housing & Urban Affairs,Bihar,6.02,8,18.57,31178.0,112,120,0,0,96.55,32,0,13.65,8,0,none,GEM_CALIBRATED_2024
GEM-CAL-00104,Product/Stationery,Ministry of Education,West Bengal,3.29,6,18.68,24721.0,66,102,0,0,82.96,68,0,21.1,6,0,none,GEM_CALIBRATED_2024
GEM-CAL-00105,Medical Equipment,Ministry of Housing & Urban Affairs,Others,178.07,4,15.99,4511.1,106,130,0,0,96.15,53,0,10.43,4,0,none,GEM_CALIBRATED_2024
GEM-CAL-00106,Printing Services,Ministry of Power,Uttar Pradesh,3.12,8,8.72,40860.1,41,74,0,0,92.22,20,0,20.53,8,0,none,GEM_CALIBRATED_2024
GEM-CAL-00107,Product/Stationery,Ministry of Defence,Tamil Nadu,1.63,7,24.95,42468.9,109,143,0,0,95.86,85,0,24.53,7,0,none,GEM_CALIBRATED_2024
GEM-CAL-00108,Medical Equipment,Ministry of Finance,Bihar,143.64,4,17.68,12952.5,21,21,0,0,92.02,85,0,2.68,4,0,none,GEM_CALIBRATED_2024
GEM-CAL-00109,IT Services,Ministry of Defence,Others,110.3,3,19.65,27799.4,49,52,0,0,88.68,58,0,23.54,3,0,none,GEM_CALIBRATED_2024
GEM-CAL-00110,IT Hardware,Ministry of Power,Gujarat,36.2,7,7.85,18406.7,72,77,0,0,91.56,26,0,10.88,7,0,none,GEM_CALIBRATED_2024
GEM-CAL-00111,Printing Services,Ministry of Defence,West Bengal,5.46,7,18.41,8895.1,31,57,0,0,92.35,82,0,23.88,7,0,none,GEM_CALIBRATED_2024
GEM-CAL-00112,Laboratory Equipment,Ministry of Education,Others,21.91,4,5.15,4303.2,98,125,0,0,82.27,18,0,18.52,4,0,none,GEM_CALIBRATED_2024
GEM-CAL-00113,IT Hardware,Ministry of Defence,Others,24.07,5,18.16,29866.1,94,117,0,0,90.55,45,0,12.45,5,0,none,GEM_CALIBRATED_2024
GEM-CAL-00114,Civil/Construction,Ministry of Road Transport & Highways,Others,1276.95,6,0.84,19.9,10,40,0,0,97.06,31,0,24.95,5,1,bid_rigging,GEM_CALIBRATED_2024
GEM-CAL-00115,IT Services,Ministry of Defence,Gujarat,223.71,3,16.48,3.4,23,27,0,0,88.41,60,0,12.37,2,1,timing,GEM_CALIBRATED_2024
GEM-CAL-00116,Electrical Equipment,Ministry of Road Transport & Highways,Others,68.99,4,9.85,23690.0,72,103,0,0,95.99,68,0,10.82,4,0,none,GEM_CALIBRATED_2024
GEM-CAL-00117,Security Services,Ministry of Railways,Gujarat,11.89,7,19.87,16857.7,65,84,0,0,87.71,64,0,5.1,7,0,none,GEM_CALIBRATED_2024
GEM-CAL-00118,Medical Equipment,Ministry of Education,Tamil Nadu,1765.44,6,2.36,39.7,21,40,0,0,97.88,67,0,6.0,5,1,bid_rigging,GEM_CALIBRATED_2024
GEM-CAL-00119,Product/Stationery,Ministry of Agriculture,Rajasthan,3.34,7,18.42,40168.0,52,53,0,0,85.08,11,0,8.03,7,0,none,GEM_CALIBRATED_2024
GEM-CAL-00120,IT Services,Ministry of Power,West Bengal,252.15,5,5.82,11505.5,98,128,0,0,85.13,74,0,22.75,5,0,none,GEM_CALIBRATED_2024
GEM-CAL-00121,Laboratory Equipment,Ministry of Health & Family Welfare,Others,78.37,4,21.74,9363.8,39,72,0,0,91.45,39,0,1.85,4,0,none,GEM_CALIBRATED_2024
GEM-CAL-00122,IT Hardware,Ministry of Electronics & IT,Uttar Pradesh,33.35,4,10.1,2254.2,23,36,0,0,84.73,66,0,9.73,4,0,none,GEM_CALIBRATED_2024
GEM-CAL-00123,Security Services,Ministry of Defence,Karnataka,16.58,8,7.27,0.8,48,81,0,0,88.78,35,0,20.5,7,1,timing,GEM_CALIBRATED_2024
GEM-CAL-00124,Printing Services,Ministry of Agriculture,Karnataka,2.81,8,13.96,25305.6,48,77,0,0,85.3,80,0,17.33,8,0,none,GEM_CALIBRATED_2024
GEM-CAL-00125,IT Services,Ministry of Defence,Maharashtra,295.67,3,17.15,10693.1,38,38,0,0,96.07,71,0,20.77,3,0,none,GEM_CALIBRATED_2024
GEM-CAL-00126,IT Services,Ministry of Road Transport & Highways,Maharashtra,289.45,8,20.58,14311.0,33,37,0,0,93.83,50,0,13.48,8,0,none,GEM_CALIBRATED_2024
GEM-CAL-00127,Civil/Construction,Ministry of Education,Others,363.14,6,10.75,497.6,25,36,0,0,98.33,85,0,7.75,5,1,front_running,GEM_CALIBRATED_2024
GEM-CAL-00128,Product/Stationery,Ministry of Defence,Uttar Pradesh,0.75,6,19.3,8620.2,104,130,0,0,83.23,82,0,24.2,6,0,none,GEM_CALIBRATED_2024
GEM-CAL-00129,Printing Services,Ministry of Education,Madhya Pradesh,3.38,6,23.1,14497.6,93,103,0,0,83.79,12,0,20.95,6,0,none,GEM_CALIBRATED_2024
GEM-CAL-00130,Product/Stationery,Ministry of Defence,Karnataka,5.69,7,7.75,41663.1,43,51,0,0,96.4,37,0,11.73,7,0,none,GEM_CALIBRATED_2024
GEM-CAL-00131,Electrical Equipment,Ministry of Defence,Bihar,95.7,4,10.74,179.9,1,33,0,1,96.85,20,0,1.96,3,1,shell_company,GEM_CALIBRATED_2024
GEM-CAL-00132,IT Hardware,Ministry of Health & Family Welfare,Delhi,80.27,6,12.17,26802.4,105,135,0,0,86.84,55,0,22.76,6,0,none,GEM_CALIBRATED_2024
GEM-CAL-00133,Civil/Construction,Ministry of Defence,Madhya Pradesh,1027.5,4,19.86,521.9,92,95,0,0,97.8,44,0,10.51,3,1,front_running,GEM_CALIBRATED_2024
GEM-CAL-00134,Product/Stationery,Ministry of Defence,Maharashtra,0.81,8,20.15,31881.0,68,85,0,0,94.38,9,0,7.35,8,0,none,GEM_CALIBRATED_2024
GEM-CAL-00135,Medical Equipment,Ministry of Education,Uttar Pradesh,60.09,6,1.11,92.7,21,36,0,1,96.16,19,0,14.45,5,1,bid_rigging,GEM_CALIBRATED_2024
GEM-CAL-00136,IT Services,Ministry of Railways,Karnataka,201.7,4,14.75,29152.1,69,82,0,0,91.72,83,0,3.04,4,0,none,GEM_CALIBRATED_2024
GEM-CAL-00137,IT Hardware,Ministry of Health & Family Welfare,Delhi,60.34,3,5.89,33721.3,114,145,0,0,88.87,37,0,19.95,3,0,none,GEM_CALIBRATED_2024
GEM-CAL-00138,IT Hardware,Ministry of Defence,Uttar Pradesh,20.98,6,18.23,30445.3,81,102,0,0,86.04,12,0,14.1,6,0,none,GEM_CALIBRATED_2024
GEM-CAL-00139,Security Services,Ministry of Housing & Urban Affairs,Uttar Pradesh,5.66,4,10.15,12946.6,110,125,0,0,83.03,74,0,4.66,4,0,none,GEM_CALIBRATED_2024
GEM-CAL-00140,Civil/Construction,Ministry of Electronics & IT,Maharashtra,884.58,5,10.86,1095.3,76,82,0,0,99.83,66,0,10.48,4,1,front_running,GEM_CALIBRATED_2024
GEM-CAL-00141,Furniture,Ministry of Education,Uttar Pradesh,5.56,5,11.56,7412.3,80,86,0,0,87.88,20,0,12.77,5,0,none,GEM_CALIBRATED_2024
GEM-CAL-00142,IT Services,Ministry of Power,Others,70.92,5,7.88,3946.2,74,80,0,0,84.0,83,0,4.0,5,0,none,GEM_CALIBRATED_2024
GEM-CAL-00143,Electrical Equipment,Ministry of Education,Uttar Pradesh,69.93,6,6.52,21222.7,25,61,0,0,89.72,62,0,22.62,6,0,none,GEM_CALIBRATED_2024
